CAD_E|CASLU10011084|CASLU2010009838|MANUELA|20101220191837|FSC|FIRE, COMMERCIAL|-120.522641|35.157087|773 MANUELA WAY |SLO_CO|2999 BLK BRANCH MILL RD| DEAD-END|695_G_7/12_T32S_R13E_M||||E21,BS62,B3416,E6696,WT21,P3421//12/21/2010 12:00:20 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/21/2010 1:20:30 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/21/2010 1:20:30 AM
CAD_U|CABEU|E4674|AIQ|20100804182838|BEU-30|||//12/21/2010 1:20:31 AM
CAD_U|CABEU|E4674|AIQ|20100804182838|BEU-30|||//12/21/2010 1:20:31 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/21/2010 1:20:32 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/21/2010 1:20:32 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/21/2010 1:20:32 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/21/2010 1:20:33 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/21/2010 1:20:33 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/21/2010 1:20:33 AM
CAD_U|CABEU|E4679|AIQ|20100723133641|BEU-30|||//12/21/2010 1:20:35 AM
CAD_U|CABEU|E4679|AIQ|20100723133641|BEU-30|||//12/21/2010 1:20:35 AM
CAD_U|CABEU|E4679|AIQ|20100723133641|BEU-30|||//12/21/2010 1:20:35 AM
CAD_U|CABEU|E4681|AIQ|20100619070355|BEU-30|||//12/21/2010 1:20:36 AM
CAD_U|CABEU|E4681|AIQ|20100619070355|BEU-30|||//12/21/2010 1:20:36 AM
CAD_U|CABEU|E4681|AIQ|20100619070355|BEU-30|||//12/21/2010 1:20:36 AM
CAD_U|CABEU|E4684|AIQ|20101106122827|BEU-35|||//12/21/2010 1:20:37 AM
CAD_U|CABEU|E4684|AIQ|20101106122827|BEU-35|||//12/21/2010 1:20:37 AM
CAD_U|CABEU|E4685|AIQ|20100802090450|BEU-30|||//12/21/2010 1:20:38 AM
CAD_U|CABEU|E4685|AIQ|20100802090450|BEU-30|||//12/21/2010 1:20:38 AM
CAD_U|CABEU|E4685|AIQ|20100802090450|BEU-30|||//12/21/2010 1:20:38 AM
CAD_U|CABEU|E4691|AIQ|20100711114712|BEU-30|||//12/21/2010 1:20:39 AM
CAD_U|CABEU|E4691|AIQ|20100711114712|BEU-30|||//12/21/2010 1:20:39 AM
CAD_U|CABEU|E4691|AIQ|20100711114712|BEU-30|||//12/21/2010 1:20:39 AM
CAD_U|CABEU|E4693|AIQ|20100717203928|BEU-30|||//12/21/2010 1:20:40 AM
CAD_U|CABEU|E4693|AIQ|20100717203928|BEU-30|||//12/21/2010 1:20:40 AM
CAD_U|CABEU|E4693|AIQ|20100717203928|BEU-30|||//12/21/2010 1:20:40 AM
CAD_U|CABEU|E4694|AIQ|20101106122832|BEU-30|||//12/21/2010 1:20:41 AM
CAD_U|CABEU|E4694|AIQ|20101106122832|BEU-30|||//12/21/2010 1:20:41 AM
CAD_U|CABEU|GAB1|AIQ|20100810072045|BEU-30|||//12/21/2010 1:20:42 AM
CAD_U|CABEU|GAB1|AIQ|20100810072045|BEU-30|||//12/21/2010 1:20:42 AM
CAD_U|CABEU|GAB1|AIQ|20100810072045|BEU-30|||//12/21/2010 1:20:42 AM
CAD_U|CABEU|GAB2|AIQ|20100809075208|BEU-30|||//12/21/2010 1:20:43 AM
CAD_U|CABEU|GAB2|AIQ|20100809075208|BEU-30|||//12/21/2010 1:20:43 AM
CAD_U|CABEU|GAB2|AIQ|20100809075208|BEU-30|||//12/21/2010 1:20:43 AM
CAD_U|CABEU|GAB3|AIQ|20100803211550|BEU-30|||//12/21/2010 1:20:44 AM
CAD_U|CABEU|GAB3|AIQ|20100803211550|BEU-30|||//12/21/2010 1:20:45 AM
CAD_U|CABEU|GAB3|AIQ|20100803211550|BEU-30|||//12/21/2010 1:20:45 AM
